                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.58747,                 1.1362,                0.50043,                0.94899,                0.85996,                0.87296,                0.87933,                0.62219,                0.85884,                0.87191,                 0.8736,                0.59285,                0.67356,                 1.2848,                 0.5192,                 1.0258,             0.00077023,             0.00077023,             0.00077023
                     25,                0.58885,                 1.1629,                  0.493,                0.95202,                0.84422,                0.88446,                0.88676,                0.61843,                0.83897,                0.87923,                0.87763,                0.59729,                0.70423,                 1.3155,                0.50741,                 1.0488,             0.00076024,             0.00076024,             0.00076024
                     26,                0.58482,                 1.1303,                0.50208,                0.94606,                0.77184,                0.88238,                0.86576,                0.63059,                0.76762,                0.87498,                0.85656,                0.60447,                0.69884,                 1.2825,                0.52391,                 1.0512,             0.00075025,             0.00075025,             0.00075025
                     27,                 0.5701,                 1.1321,                0.48565,                0.94761,                0.87069,                0.78104,                0.87204,                 0.6371,                0.86837,                0.77786,                0.86312,                0.61105,                0.70387,                 1.3038,                0.52301,                 1.0446,             0.00074026,             0.00074026,             0.00074026
                     28,                0.55844,                 1.1187,                0.47309,                0.93494,                0.83774,                0.72278,                0.84021,                0.61191,                0.83694,                0.71986,                 0.8324,                0.58563,                 0.7055,                 1.3181,                0.51257,                 1.0528,             0.00073027,             0.00073027,             0.00073027
                     29,                0.57694,                 1.1074,                0.47028,                0.94425,                0.77335,                0.73555,                0.81551,                0.62564,                0.78968,                0.71511,                0.80859,                0.57493,                0.69645,                 1.3073,                0.50843,                 1.0448,             0.00072028,             0.00072028,             0.00072028
                     30,                0.56228,                   1.09,                0.46679,                0.94277,                0.77838,                0.79207,                0.81975,                0.60574,                0.77433,                0.78687,                0.81189,                0.57197,                0.70083,                 1.3286,                0.54016,                 1.0596,             0.00071029,             0.00071029,             0.00071029
                     31,                0.56476,                 1.0969,                0.48284,                0.94465,                0.75983,                0.83987,                0.85136,                0.64648,                0.75685,                0.83673,                0.84377,                0.59555,                0.68646,                 1.3018,                0.50815,                 1.0454,              0.0007003,              0.0007003,              0.0007003
                     32,                0.56588,                 1.1101,                0.46394,                0.93871,                0.80954,                0.77091,                0.80101,                0.58574,                 0.8037,                0.76577,                0.79438,                0.54434,                0.71359,                 1.3367,                0.52494,                  1.057,             0.00069031,             0.00069031,             0.00069031
                     33,                 0.5448,                 1.0608,                0.45197,                0.93408,                0.75551,                0.84655,                0.81107,                0.60567,                0.75358,                0.84446,                0.80523,                0.56227,                0.70573,                 1.3224,                0.50523,                 1.0641,             0.00068032,             0.00068032,             0.00068032
                     34,                 0.5682,                 1.0906,                0.45326,                0.93357,                0.71446,                0.79901,                0.83042,                0.63995,                 0.7091,                0.79119,                0.82462,                0.58815,                0.69408,                 1.3284,                0.50464,                 1.0611,             0.00067033,             0.00067033,             0.00067033
                     35,                0.55137,                 1.0651,                0.44409,                0.93287,                0.80617,                0.75946,                0.81531,                0.60992,                0.80129,                0.75013,                0.80772,                0.57152,                0.70531,                  1.321,                0.52616,                  1.047,             0.00066034,             0.00066034,             0.00066034
                     36,                0.54338,                 1.0632,                0.43998,                0.92387,                0.68355,                0.94691,                0.85233,                0.63149,                0.67854,                0.94434,                0.84554,                0.58921,                0.70482,                 1.3144,                0.50544,                 1.0514,             0.00065035,             0.00065035,             0.00065035
                     37,                0.53163,                 1.0397,                0.42534,                0.92505,                0.80258,                0.78448,                0.85838,                0.60881,                0.79805,                0.77889,                0.84766,                0.59299,                0.70738,                  1.328,                0.50747,                 1.0508,             0.00064036,             0.00064036,             0.00064036
                     38,                0.54179,                 1.0694,                0.43353,                0.91513,                0.76679,                0.88969,                0.89294,                0.66527,                0.76375,                0.88655,                0.88402,                0.60954,                0.69217,                 1.3469,                0.51837,                  1.051,             0.00063037,             0.00063037,             0.00063037
                     39,                0.53224,                 1.0329,                0.42887,                0.92511,                0.84271,                0.77577,                0.88752,                0.63418,                0.84003,                0.77077,                0.87653,                0.59433,                0.69812,                 1.3481,                0.51679,                 1.0479,             0.00062038,             0.00062038,             0.00062038
                     40,                0.52601,                 1.0494,                0.41505,                0.91342,                0.80726,                0.77955,                0.87955,                0.67678,                0.79819,                0.75644,                 0.8657,                0.61318,                0.68572,                 1.3329,                0.50529,                 1.0525,             0.00061039,             0.00061039,             0.00061039
